Zip Code,State,Population,White,Black,AI,Asian,NHOPI,Other,Mixed,Hispanic
19095,PA,"4,019",33.8,53.2,0.3,8.2,0.0,1.1,3.4,3.9
19096,PA,"1,377",91.2,3.1,0.0,3.7,0.1,0.4,1.4,2.6
19096,PA,28,85.7,3.6,0.0,7.1,0.0,3.6,0.0,3.6
19096,PA,"5,632",80.9,7.3,0.0,9.5,0.0,0.4,1.8,2.9
19096,PA,"6,535",87.0,2.1,0.0,8.8,0.0,0.6,1.5,2.4
19102,PA,"4,705",78.6,5.7,0.1,12.4,0.0,1.0,2.2,6.2
19103,PA,"21,908",77.7,6.9,0.2,11.9,0.1,0.8,2.3,4.0
19104,PA,"51,808",37.6,41.5,0.3,16.4,0.1,1.1,3.1,4.0
19106,PA,"11,740",81.8,9.3,0.2,5.7,0.0,1.0,1.9,5.4
19107,PA,"14,875",57.2,12.2,0.2,26.1,0.1,1.3,2.9,4.3
19111,PA,"63,090",59.4,21.3,0.4,9.2,0.1,6.7,2.9,13.1
19112,PA,13,61.5,7.7,0.0,0.0,0.0,30.8,0.0,30.8
19113,PA,120,90.0,1.7,0.0,0.0,0.0,0.0,8.3,0.0
19114,PA,"30,907",83.1,9.2,0.2,3.8,0.0,1.9,1.8,5.5
19115,PA,"33,207",77.7,6.0,0.2,12.2,0.0,1.9,1.9,5.3
19116,PA,"33,112",78.2,6.0,0.3,11.2,0.0,1.7,2.6,4.7
19118,PA,"9,728",77.1,16.5,0.2,3.2,0.0,0.7,2.3,3.3
19118,PA,80,87.5,7.5,2.5,1.3,0.0,0.0,1.3,3.8
19119,PA,"27,035",31.7,62.5,0.3,1.2,0.0,0.8,3.4,3.3
19120,PA,"68,104",15.9,51.1,0.5,13.3,0.1,15.5,3.6,27.8
19121,PA,"36,572",13.7,80.9,0.3,1.9,0.0,1.0,2.2,3.0
19122,PA,"21,653",37.3,40.5,0.7,3.2,0.0,14.6,3.6,28.4
19123,PA,"13,416",44.8,43.1,0.3,5.1,0.1,3.8,2.8,9.5
